tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
1579297,Nalla,2004-11-12,2004,kn,"[18, 10749, 35]",1.7353,7.0,1,"Pachchi alias Prashant (Sudeep) finds a girl, Preethi (Sangeetha), who has lost her memory, in a car. Prashant falls in love with her. He takes care of her and admits her to a hospital. When in the hospital, her father finds her and takes her home. He thanks him and gives a driver's job.  Preethi regains her memory and starts looking for Prashant. One day Preethi meets with an accident and is taken to the hospital. Prashant reveals himself and saves her."
1502640,Sardara,2004-12-03,2004,kn,"[28, 18]",1.6285,0.0,0,"An abandoned child is raised by a rich landlord after a priest finds him. Years later, he falls in love with his benefactor's daughter, which creates problems as he is against their union."
282554,Apthamitra,2004-08-27,2004,kn,"[18, 27, 53]",1.3132,8.2,4,"Apthamitra movie is based on Nagavalli (Dancer). Ramesh, an engineer buys the palace. Everyone believes that the spirit of Nagavalli, a dancer is captivated in a room of that palace. Ganga she opens  the locked room with the help of Soumya. Then start the troubles. Vijay  who came to ramesh house for holidays."
1230463,Kalasipalya,2004-10-15,2004,kn,[],0.8029,0.0,0,"Kencha, who is unable to pass his matriculation exam even after repeated attempts, decides to start a business. While his family supports him, the thugs in his locality oppose him at every turn."
282552,Bisi Bisi,2004-01-22,2004,kn,[18],0.5432,0.0,0,"Bisi Bisi is a 2004 Kannada film directed by Ramnath and produced by Ajay Chandani. The film stars Ramesh Aravind, Anu Prabhakar and Shankar Rao in lead roles. Music was composed by Milind Dharmasena."
1541873,Sarvabhouma,2004-07-30,2004,kn,"[28, 18]",0.4169,0.0,0,"Sarvabhouma is a 2004 Kannada action-drama film directed by Mahesh Sukhadhare, starring Shivarajkumar in a double role."
1488497,Kanakambari,2004-06-04,2004,kn,"[27, 18, 35]",0.4152,0.0,0,"When a dark but seemingly harmless game goes wrong, the spirit of Nirmala Devi enters the body of Nitya. Soon enough, Nirmala Devi sets out on a mission to avenge her death."
265661,Haseena,2004-04-01,2004,kn,[18],0.2541,9.0,1,"Hasina marries driver Yakub against his mother's wishes. The couple have three daughters, one of whom is disabled. Pregnant with their fourth child, the couple break social codes and do a pregnancy scan to ascertain the baby's gender. When Yakub realizes it is yet another girl, he becomes at turns abusive and neglectful, eventually leaving Hasina to fend for herself."
691046,Veera Kannadiga,2004-01-01,2004,kn,"[28, 18]",0.3139,5.0,2,A man protects a slum and strives to keep its inhabitants safe from the negative elements. He also aims to avenge his father's death against the criminals who killed him.
280189,Love,2004-07-09,2004,kn,[35],0.2673,7.5,3,"Ganga, who mistakes Vikram to be a womaniser, understands his character when he saves her from a fire accident. They become lovers, but things change when a mysterious woman enters their lives."
